Date,Open,High,Low,Close,Volume,Ticker,ATR_14,RSI_14,P/E,Market_Cap,MA20,MA200,Sector
2025-06-16,361.0,364.61,360.2,362.44,1579800,CAT,6.295,67.341,19.417,187387609088,351.996,356.214,Industrials
2025-06-17,360.72,362.39,357.03,357.68,1560100,CAT,6.177,55.636,19.417,187387609088,352.251,356.282,Industrials
2025-06-18,357.13,364.23,356.96,359.8,2000500,CAT,6.322,59.274,19.417,187387609088,352.767,356.344,Industrials
2025-06-20,362.95,364.25,359.14,360.52,6268300,CAT,6.161,60.542,19.417,187387609088,353.667,356.387,Industrials
2025-06-23,359.92,367.1,357.73,366.23,2927400,CAT,6.589,69.29,19.417,187387609088,354.719,356.537,Industrials
2025-06-24,369.89,374.11,367.92,373.02,3841800,CAT,6.761,76.453,19.417,187387609088,356.2,356.739,Industrials
2025-06-25,373.0,374.19,369.51,371.58,1737700,CAT,6.483,72.325,19.417,187387609088,357.204,356.949,Industrials
2025-06-26,374.0,382.33,373.04,381.88,2575100,CAT,7.052,80.856,19.417,187387609088,358.823,357.231,Industrials
2025-06-27,383.02,387.49,382.75,384.71,4455000,CAT,6.86,82.561,19.417,187387609088,360.469,357.505,Industrials
2023-01-03,413.281,413.435,405.749,409.698,1166300,DE,7.211,31.59,25.124,140913999872,418.924,359.941,Industrials
2023-01-04,409.35,411.697,405.758,408.916,1050800,DE,7.041,30.295,25.124,140913999872,418.335,360.015,Industrials
2023-01-05,408.037,408.926,398.42,400.467,1485000,DE,7.503,20.05,25.124,140913999872,417.259,360.004,Industrials
2023-01-06,401.886,413.802,401.703,411.803,1042200,DE,8.281,47.524,25.124,140913999872,416.633,360.024,Industrials
2023-01-09,413.194,419.344,411.803,413.474,1200300,DE,8.182,50.421,25.124,140913999872,415.982,360.033,Industrials
2023-01-10,412.209,422.888,412.209,422.386,1079200,DE,8.515,62.996,25.124,140913999872,416.167,360.084,Industrials
2023-01-11,424.617,424.752,415.299,418.572,1130000,DE,8.64,55.984,25.124,140913999872,416.053,360.095,Industrials
